id,subnet,ports,host,open_ports,scan_time
8,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 23:07:24
7,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 22:07:01
6,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 22:06:46
5,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 20:31:07
4,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 20:22:32
3,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 16:23:19
2,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 16:06:13
1,192.168.43.1/32,1-1024,192.168.43.1,53,2025-09-13 16:03:02
